date,Open,High,Low,Close,Volume,avg_sentiment,sentiment_std,news_count,Return,MA20,MA50,Volatility,Target
2010-03-16,1924.27,1933.96,1918.98,1932.24,379634483.0,0.0,0.0,0.0,0.006327828383044576,1861.0384999999999,1835.4356,0.0064211313305934025,1
2010-03-17,1934.65,1945.9,1930.91,1936.22,393346552.0,0.0,0.0,0.0,0.002059785533888192,1867.3065,1836.4260000000002,0.006420459505625513,1
2010-03-18,1937.63,1945.28,1934.17,1943.94,374665517.0,0.0,0.0,0.0,0.003987150220532865,1873.334,1837.5362,0.0063684584717822405,0
2010-03-19,1943.96,1949.14,1924.72,1932.43,526855172.0,0.0,0.0,0.0,-0.005920964638826298,1878.7895,1838.6163999999999,0.006656458879501285,2
2010-03-22,1922.73,1956.48,1921.71,1949.59,422091379.0,0.0,0.0,0.0,0.008880011177636371,1885.3875,1840.0738000000001,0.006623018061358088,2
2010-03-23,1952.54,1964.14,1943.25,1963.2,425039655.0,0.0,0.0,0.0,0.006980954970019493,1893.8565000000003,1841.486,0.005373337359521576,0
2010-03-24,1956.63,1958.6,1948.85,1951.84,420017241.0,0.0,0.0,0.0,-0.005786471067644738,1900.8229999999999,1842.7979999999998,0.005653919374510628,1
2010-03-25,1966.56,1976.38,1948.5,1949.15,466356897.0,0.0,0.0,0.0,-0.0013781867366177147,1907.6350000000002,1844.5451999999998,0.005717027505033017,1
2010-03-26,1958.27,1965.52,1942.21,1952.63,408263793.0,0.0,0.0,0.0,0.0017853936331222453,1914.3325,1845.8752,0.005731494434218633,1
2010-03-29,1960.63,1968.43,1956.6,1961.22,339284483.0,0.0,0.0,0.0,0.0043991949319635015,1920.0735,1847.3692,0.0050410958088999,1
2010-03-30,1966.51,1974.47,1955.22,1967.96,370218966.0,0.0,0.0,0.0,0.003436636379396507,1925.911,1849.438,0.005040809644058399,1
2010-03-31,1962.17,1969.9,1955.15,1958.34,408394828.0,0.0,0.0,0.0,-0.004888310738023205,1931.2495000000004,1850.6952,0.005314362597502272,1
2010-04-01,1968.44,1979.49,1943.97,1959.56,403494828.0,0.0,0.0,0.0,0.0006229766026328853,1936.2415,1852.5274,0.005322352819902769,2
2010-04-05,1964.03,1981.07,1958.01,1977.83,367300000.0,0.0,0.0,0.0,0.009323521606891427,1940.7050000000004,1855.0726000000002,0.004675219325820495,1
2010-04-06,1971.09,1988.04,1968.17,1981.95,382825862.0,0.0,0.0,0.0,0.0020830910644493716,1945.2579999999998,1858.8152,0.00466866376060601,1
2010-04-07,1980.2,1987.34,1967.14,1977.3,514629310.0,0.0,0.0,0.0,-0.002346174222356834,1949.054,1862.3134,0.0047188250781588234,1
2010-04-08,1972.82,1984.9,1962.04,1980.73,418775862.0,0.0,0.0,0.0,0.0017346887169371605,1952.223,1865.8508,0.004469667562255163,2
2010-04-09,1984.01,1994.48,1978.09,1994.43,381987931.0,0.0,0.0,0.0,0.006916641844168625,1955.7540000000001,1869.3614000000002,0.004610207940545051,1
2010-04-12,1995.35,2000.56,1990.78,1995.65,372698276.0,0.0,0.0,0.0,0.0006117035945107929,1959.315,1873.8524,0.004605730293561292,1
2010-04-13,1994.34,2006.51,1986.83,2003.81,459555172.0,0.0,0.0,0.0,0.004088893343020983,1963.5009999999997,1879.1078,0.00452745924891044,2
2010-04-14,2015.61,2029.06,2012.98,2028.82,541943103.0,0.0,0.0,0.0,0.012481223269671382,1968.33,1884.4698,0.005009973222244342,1
2010-04-15,2027.92,2040.49,2027.52,2038.64,489768966.0,0.0,0.0,0.0,0.004840251969125076,1973.4510000000002,1889.7042000000001,0.005036975580888753,0
2010-04-16,2030.34,2037.47,2000.77,2012.84,510508621.0,0.0,0.0,0.0,-0.012655495820743323,1976.896,1894.267,0.006064402107540182,1
2010-04-19,2011.4,2018.93,1988.37,2013.53,383387931.0,0.0,0.0,0.0,0.0003427992289501969,1980.9509999999998,1899.8778,0.005802930241014885,2
2010-04-20,2025.04,2027.44,2009.55,2023.6,371913793.0,0.0,0.0,0.0,0.005001167104537796,1984.6515,1905.4274000000003,0.005625588408726286,2
2010-04-21,2037.15,2040.83,2021.72,2034.53,468258621.0,0.0,0.0,0.0,0.005401265072148664,1988.2179999999996,1911.4204,0.005560914257263399,2
2010-04-22,2016.49,2047.11,2002.97,2045.16,482903448.0,0.0,0.0,0.0,0.005224793932751215,1992.884,1917.2468,0.005309611667310989,1
2010-04-23,2042.8,2055.63,2036.99,2055.33,433967241.0,0.0,0.0,0.0,0.004972716071114158,1998.193,1923.3581999999997,0.0052645465150882465,1
2010-04-26,2054.84,2059.42,2045.64,2049.09,429489655.0,0.0,0.0,0.0,-0.0030360088161024423,2003.016,1928.8252000000002,0.005415359064997287,0
2010-04-27,2040.43,2049.9,2001.02,2006.25,493932759.0,0.0,0.0,0.0,-0.020906841573576584,2005.2675,1933.3680000000002,0.00748962233710872,1
2010-04-28,2016.52,2017.92,1991.95,2007.59,475032759.0,0.0,0.0,0.0,0.0006679127725857104,2007.2490000000003,1937.4786000000001,0.00747093988764037,2
2010-04-29,2020.51,2045.86,2019.32,2042.89,529248276.0,0.0,0.0,0.0,0.0175832714847155,2011.4765,1942.1192,0.00819013377972783,0
2010-04-30,2040.58,2044.39,2000.26,2000.63,489850000.0,0.0,0.0,0.0,-0.020686380568704088,2013.53,1945.6640000000002,0.009654151380642297,2
2010-05-03,2010.94,2039.52,2010.91,2031.6,413512069.0,0.0,0.0,0.0,0.015480123761015152,2016.2184999999997,1949.8296,0.010021913802448807,0
2010-05-04,2003.59,2003.59,1955.39,1968.97,526308621.0,0.0,0.0,0.0,-0.03082791888166958,2015.5695,1952.8564,0.012336706855230735,0
2010-05-05,1947.35,1971.1,1936.56,1958.26,524393103.0,0.0,0.0,0.0,-0.005439392169509949,2014.6174999999998,1956.1452,0.012383595645255732,0
