ticker,datetime,title,top_sentiment,sentiment_score
INFY,4/9/2024 15:45,"New Buy Rating for Infosys (INFY), the Technology Giant",positive,0.487195224
INFY,4/14/2024 12:00,"Earnings week ahead: BAC, JNJ, TSM, UNH, ABT, SLB, UAL, PG, NFLX and more",negative,0.439071208
INFY,4/17/2024 14:52,Notable earnings before Thursday's open,negative,0.413411856
INFY,4/17/2024 15:01,Infosys is about to announce its earnings — here's what Wall Street expects,positive,0.513198316
INFY,4/17/2024 16:17,Infosys Q4 2024 Earnings Preview,neutral,0.517683864
INFY,4/18/2024 11:43,Infosys reports mixed Q4 results; updates FY25 outlook,positive,0.366378874
INFY,4/18/2024 12:15,"INVO, EZGO and WISA among pre-market losers",neutral,0.49060446
INFY,4/18/2024 14:06,Infosys Down In Pre-Market On Nearly Flat Revenue Growth ,negative,0.482078195
INFY,4/18/2024 14:40,Infosys To Acquire German Engineering R&D Services Provider In-tech ,negative,0.555739939
INFY,4/18/2024 15:53,"INFY Stock Earnings: Infosys Beats EPS, Beats Revenue for Q4 2024",positive,0.413721502
INFY,4/19/2024 16:00,4 Analysts Have This To Say About Infosys,neutral,0.428022087
INFY,4/22/2024 7:56,Infosys: A Titan in Digital Transformation and Cloud Services Poised for Market Share Expansion,negative,0.505235434
INFY,4/23/2024 12:40,"Analysts Are Bullish on These Technology Stocks: Lam Research (LRCX), Cadence Design (CDNS)",negative,0.454902381
INFY,5/14/2024 10:58,Infosys enters multi-year strategic collaboration with First Abu Dhabi Bank,positive,0.404484302
INFY,5/17/2024 10:15,Hidden Treasures: 7 Undervalued Tech Stocks to Dig Up Now,negative,0.464584947
INFY,6/16/2024 15:00,3 Emerging Market Stocks to Buy Before They Take Off,neutral,0.38356027
INFY,6/20/2024 14:25,Nvidia And Hewlett Packard Enterprise Join Forces To Dominate Enterprise AI Market: JPMorgan (UPDATED),positive,0.410005033
INFY,6/20/2024 18:00,"Globant, Cognizant Technology, others perk up on back of strong Accenture results",positive,0.460659772
INFY,7/1/2024 17:48,3 Recent Stock Downgrades Signaling Trouble Ahead,neutral,0.576672494
INFY,7/10/2024 21:36,Infosys to Assist Sector Alarm in Cloud ERP Migration,neutral,0.412910551
INFY,7/14/2024 12:00,"Earnings week ahead: BAC, GS, JNJ, TSM, UNH, ABT, UAL, NFLX, AXP and more",neutral,0.423247844
INFY,7/17/2024 14:51,Notable earnings before Thursday's open,positive,0.402464986
INFY,7/17/2024 15:01,Infosys earnings preview: what Wall Street is expecting,neutral,0.399553657
INFY,7/17/2024 16:06,Infosys Q1 2025 Earnings Preview,neutral,0.405368656
INFY,7/18/2024 10:59,"Infosys GAAP EPS of $0.18 in-line, revenue of $4.71B beats by $50M",negative,0.371141762
INFY,7/18/2024 13:01,"Infosys Q1 Profit Increases, Revenues Up 2.5%; Raises FY25 Revenue Outlook ",negative,0.51147449
INFY,7/18/2024 14:53,"INFY Stock Earnings: Infosys Meets EPS, Beats Revenue for Q1 2025",positive,0.385723352
INFY,7/19/2024 12:45,Hold Rating on Infosys: Balancing Solid Performance with Valuation Concerns,positive,0.37803784
INFY,7/23/2024 2:05,Infosys (INFY) Gets a Hold from Stifel Nicolaus,negative,0.382652164
INFY,7/29/2024 18:42,3 Stocks With the Most Recent 52-Week Highs,neutral,0.42028144
INFY,7/30/2024 10:15,3 Stocks That Could See Increased Demand Thanks to the CrowdStrike Outage,negative,0.512523353
INFY,9/10/2024 8:21,Infosys And Proximus Group Form Collaboration To Drive New Business Opportunities ,neutral,0.509457827
INFY,9/25/2024 13:01,Infosys Inks Strategic Collaboration With Polestar ,positive,0.463559389
INFY,9/26/2024 11:52,"Accenture rises after Q4 beat amid AI wave, upbeat Q1 outlook",positive,0.351652503
INFY,9/26/2024 15:38,Infosys In Strategic Partnership With Sally Beauty To Boost IT Efficiencies Through Hyper-Automation ,negative,0.436582237
INFY,9/27/2024 18:59,The top stocks in Asia Emerging Markets rated by quant,neutral,0.592659414
INFY,10/9/2024 12:22,"Analysts Offer Insights on Technology Companies: Infosys (INFY), Ciena (CIEN) and ServiceNow (NOW)",neutral,0.372940809
INFY,10/13/2024 12:00,"Earnings week ahead: BAC, GS, JNJ, TSM, UNH, ABT, UAL, NFLX, PG, AXP and more",neutral,0.537038386
INFY,10/16/2024 15:26,Infosys Q2 2025 Earnings Preview,neutral,0.471160322
INFY,10/16/2024 22:00,Here's the major earnings before the open tomorrow,neutral,0.541604817
INFY,10/17/2024 11:56,"Infosys GAAP EPS of $0.19 in-line, revenue of $4.89B beats by $30M",positive,0.364205152
INFY,10/17/2024 14:57,"Infosys Q2 EPS Meets Estimates, Revenues Top; Boost FY25 Revenue Growth Outlook ",neutral,0.492214918
INFY,10/18/2024 18:35,Balanced Outlook for Infosys Amid Modest Improvements and Elevated Valuation Concerns,neutral,0.383146644
INFY,10/23/2024 2:10,"Analysts Are Neutral on Top Technology Stocks: Infosys (INFY), Audinate Group Ltd. (AUDGF)",neutral,0.4016352
INFY,10/23/2024 12:57,Infosys Reports Robust Q2 Growth Amid Strategic Partnerships,negative,0.51589644
INFY,10/23/2024 13:00,Infosys strengthens collaboration with Meta Platforms,positive,0.525879622
INFY,10/23/2024 15:33,"Meta, Infosys Strengthen Collaboration - Quick Facts ",neutral,0.38131395
INFY,10/23/2024 20:00,StockTok: Meta lays off employees across platforms,positive,0.398865193
INFY,10/29/2024 14:03,Infosys Shares Strategic Updates for Investors,neutral,0.36727193
INFY,11/18/2024 13:59,Infosys Reports Stock Incentives for Key Managers,negative,0.485176146
C,10/16/2024 12:07,Piper Sandler Reaffirms Their Buy Rating on Citigroup (C),neutral,0.481203943
C,10/16/2024 12:18,Citigroup (C) Receives a Hold from Evercore ISI,neutral,0.456979603
C,10/16/2024 14:26,Citigroup’s Hold Rating: Balancing Strong Q2 Performance with Restructuring Challenges and Regulatory Pressures,negative,0.374633342
C,10/17/2024 1:47,Citigroup (C) Receives a Rating Update from a Top Analyst,negative,0.404525757
C,10/17/2024 4:56,China's housing ministry gears up to support struggling property sector,neutral,0.415663213
C,10/17/2024 10:31,Analysts Offer Insights on Financial Companies: Citigroup (C) and Riot Platforms (RIOT),positive,0.498189062
C,10/18/2024 13:37,Quadravest Preferred Split Share ETF raises dividend by 7.6% to CAD 0.0583,positive,0.549746931
C,10/18/2024 15:26,19 of 21 financial stocks post earnings beats as banks continue to win big - Earnings Scorecard,neutral,0.362796962
C,10/19/2024 13:30,Over 60% of companies that reported earnings this week beat EPS and revenue estimates - Earnings Scorecard,neutral,0.383764088
C,10/19/2024 20:06,Why insurers are deepening investment in the $1.7T private credit space,negative,0.359832525
C,10/20/2024 10:25,Opening Day: Self-driving startup Pony.ai files for U.S. IPO,neutral,0.392257541
C,10/21/2024 10:32,"U.S. banks consider cuts to interest payments for corporate depositors, FT says",neutral,0.438254386
C,10/22/2024 10:00,CFPB finalizes personal financial data rights rule,neutral,0.373482227
C,10/23/2024 20:41,Citigroup declares $0.56 dividend,positive,0.412456512
C,10/27/2024 11:15,Opening Day: Ingram Micro returns to trading in busy week,positive,0.432819575
C,10/28/2024 3:15,Citi Unveils Citi Digital Bill ,neutral,0.376192093
C,10/28/2024 17:32,Citi to use Google Cloud to modernize tech infrastructure,positive,0.474193931
C,10/29/2024 18:09,Wells Fargo's Mayo assesses how the election will affect banks,positive,0.362635285
C,10/29/2024 20:26,Citigroup announces $1B redemption of 1.281% fixed rate/ floating rate notes due 2025,neutral,0.538684368
C,10/30/2024 19:45,Florida inadvertently banned most banks from selling securities in the state for weeks - report,positive,0.417378396
C,10/31/2024 16:28,Former Citi bankers ask board to pull back hundreds of bonuses - report,neutral,0.384833157
C,11/3/2024 11:30,"Opening Day: Polyrizon, Gelteq debut in quiet IPO week",positive,0.424794585
